國文,英文,數學,社會,自然
11,10,7,14,12
10,10,7,7,10
8,12,14,12,8
11,11,15,15,9
11,15,14,10,14
7,14,10,9,11
13,10,8,7,10
6,6,15,13,11
6,11,10,15,7
14,6,14,13,8
12,12,14,10,14
9,9,13,14,11
8,14,7,8,12
13,6,11,6,8
12,11,15,15,6
7,9,10,10,14
7,11,15,15,9
13,6,6,15,15
8,6,13,15,12
7,7,6,9,6
7,8,9,7,15
7,13,9,13,14
13,12,12,8,14
10,10,15,6,14
6,14,6,11,12
10,11,7,6,15
13,14,7,12,10
7,7,7,6,14
9,11,13,6,10
10,9,11,6,15
10,7,11,11,13
8,6,7,7,13
15,9,8,12,6
9,11,7,14,14
11,6,9,14,11
12,12,10,8,12
7,7,11,9,6
10,13,15,8,10
9,8,11,10,13
15,11,14,15,6
8,12,10,13,10
8,10,7,10,9
14,13,13,15,12
13,7,9,10,12
10,15,10,7,12
6,6,10,15,8
13,11,7,12,10
7,6,10,15,12
6,12,14,11,7
14,7,15,10,11
15,15,8,15,8
7,9,11,11,8
7,13,6,8,9
12,14,9,15,7
12,7,6,11,9
9,12,10,7,10
9,11,7,14,8
10,7,7,6,11
15,7,15,15,6
10,12,15,14,13
10,10,14,11,11
14,6,6,13,14
15,10,10,8,8
7,10,8,15,14
11,10,6,15,7
11,9,13,6,8
7,12,13,10,12
13,8,11,15,10
14,7,13,6,12
14,9,9,15,7
14,7,9,6,14
15,13,12,11,10
10,10,6,15,8
10,10,15,7,8
9,9,11,9,15
8,8,14,9,10
13,6,6,7,14
9,12,7,7,13
7,13,15,10,8
14,7,8,6,7
14,9,14,13,11
9,12,9,9,7
10,10,9,13,9
12,9,13,14,15
7,12,8,14,8
11,13,12,14,9
8,12,14,14,8
7,7,14,6,7
11,12,13,15,12
15,9,13,9,15
13,14,6,8,10
7,10,10,10,12
14,12,6,7,6
11,9,10,15,7
8,8,7,9,8
7,11,8,11,15
13,12,7,9,14
7,15,7,8,10
7,14,12,15,7
12,10,15,8,7
